7882	31	9529	0
9934	67	8982	0
4296	13	8503	0
9487	27	6112	22
8151	41	9850	0
1519	17	645	0
1692	68	3216	3
1689	41	9269	0
6490	2	8988	0
4476	13	3683	0
1859	67	4715	50
6392	17	8264	0
5145	13	4234	0
1002	55	4074	0
3021	58	8103	127
3021	14	8103	135
6058	67	1674	39
7231	55	6190	21
5290	41	9850	0
2355	31	2302	0
9955	7	9850	0
9656	41	9850	0
5652	67	2220	26
334	7	9850	0
9166	34	6663	133
6922	67	6848	0
4185	55	9878	0
7694	13	9662	0
8096	68	5913	0
10021	13	7558	0
9196	9	8147	156
1364	41	9850	0
6906	60	2182	55
3212	17	9473	0
8160	17	8881	0
982	17	4681	0
852	14	1265	3
8587	67	6441	100
9487	27	6628	11
6892	13	1947	0
3875	41	9850	0
9674	9	636	0
7378	68	783	0
3736	7	9850	0
6817	17	9549	0
8923	67	1871	78
9104	67	6530	50
3858	31	5234	0
7022	13	7553	0
3261	13	8638	0
7745	31	9976	0
5483	68	4055	0
5969	13	8428	0
4678	31	2503	0
4621	67	569	48
5436	60	1384	156
8528	41	9850	0
3799	7	9850	0
5823	67	2213	86
28	7	9850	0
5914	55	8593	50
1457	27	2265	34
9271	55	8593	0
62	31	6326	0
4952	17	7791	0
7354	17	5272	0
7329	55	6190	23
7227	68	9416	95
1457	27	5833	34
8239	7	9850	0
7384	9	598	0
8398	55	6277	29
4964	7	9850	0
2036	7	9850	0
2034	13	3564	0
4520	55	8593	0
836	9	6204	151
4402	67	9997	0
3536	2	6787	0
2967	7	9850	0
806	67	2106	50
9563	41	9850	0
8589	60	3982	18
6542	67	3012	50
6265	7	9850	0
892	55	8593	0
1658	55	2583	0
4730	17	5781	0
2152	67	6071	153
4624	13	1416	0
3157	44	9494	0
4816	67	7294	125
5775	13	5655	0
4939	68	2862	0
8618	67	3233	26
9286	68	2725	0
6657	60	782	0
9550	41	9850	0
6501	60	9641	0
1571	7	9850	0
8820	7	9850	0
9798	31	9806	0
7245	68	2541	0
58	67	7618	109
7606	17	6877	0
8837	30	969	0
